Machine_ID,Temp_C,Vibration_mm_s,Pressure_Bar,Acoustic_dB,Inspection_Duration_min,Downtime_Cost_USD,Technician_Availability_pct,Failure_Prob,Maintenance_Priority
M009,59.42417214138266,2.9603298731798136,4.453042884893883,69.16783129766007,116,856,66,0.47,2
M010,80.58740752611841,3.7974214212897035,4.568482546458505,84.46022550056473,33,4074,56,0.61,1
M004,84.07494768417256,2.0822202025682204,4.792245241805155,74.4249667956793,106,1696,95,0.49,2
M001,63.85252292675111,4.073060366064164,5.199133886089663,65.44155126169713,142,4778,63,0.52,1
M009,80.53833331781546,3.0891393590279725,5.248044248146282,51.23006604548914,127,1133,80,0.49,2
M005,70.75800977971889,4.4124094099167985,4.796161194212757,75.54368390807545,110,1908,65,0.57,2
M008,81.93878444980653,2.4745975492550754,5.060430939513199,76.84427760418309,116,1895,79,0.52,2
M003,74.05246626421598,2.17676203547791,4.4004313828258645,60.912524190902744,69,2424,78,0.45,2
M004,78.97701770507295,2.80612070101196,5.02061850925829,63.34596712129922,80,3323,50,0.53,2
M005,63.76939439855448,2.341064264671219,5.802253790082701,73.49041145063713,99,2376,88,0.44,2
M008,71.82219395663931,1.7111634383631271,5.286225967506138,87.026446693722,53,4882,67,0.49,1
M007,66.61310476296107,2.9027222168728204,5.1467404764369835,61.8589250890919,143,4034,99,0.44,1
M006,74.72841566595923,3.8493250629458444,4.887808945054331,67.13731946394735,84,4630,98,0.51,1
M004,73.50012108600275,2.6546084295207777,5.072946267958429,90.14230474477988,105,1983,51,0.56,2
M007,82.1408611295253,2.8783471956072635,5.032186285436115,64.6542523797649,110,4922,51,0.54,1
M004,63.90354495479243,3.154105595856611,5.310617476286998,76.02037423381782,109,3904,95,0.47,2
M003,72.45100155131541,2.2981799030654515,4.822526884896513,69.86381522665475,50,1092,96,0.45,2
M010,90.44526003678094,2.6609789471789993,6.546320639231341,75.5513224505021,93,3556,63,0.57,2
M002,77.06843851996526,2.8056292304581545,5.199824552709484,62.40747152171412,122,888,90,0.48,2
M006,83.6531690202038,2.371814530414233,5.312574431755196,70.41229250944903,46,2013,68,0.52,2
M001,87.5643634234519,1.9965644408388001,4.367787540191218,65.11321109700941,55,1300,76,0.5,2
M003,56.07454014696036,2.509931019733271,5.209830122406033,79.07487586221472,82,3992,86,0.44,2
M007,81.3629316843861,1.8782984437611123,5.184665510578066,59.80476585976757,30,1059,59,0.48,2
M010,68.16406199835076,4.9793894187099115,5.399696679310219,79.97265953697914,84,4345,50,0.61,1
M004,72.40394177550526,2.5566284518121702,5.0712519112880825,63.10214546417244,44,3494,80,0.47,2
M008,84.33783912872343,3.1521218714555364,4.468413322130325,81.12867368935164,100,927,72,0.57,2
M009,73.13943494857119,3.268179564462847,4.0946011997201825,82.49000207822503,142,2960,87,0.53,2
M008,73.0257046135796,4.2028270060092785,4.9962085560394796,80.41850610319761,115,3944,65,0.58,2
M010,83.24014830598352,2.117321562448132,4.188233307800797,64.84943977009871,63,3166,51,0.51,2
M002,61.76728976894895,3.506304829651524,5.329909142972491,63.58399501331969,57,4377,51,0.5,1
M004,82.7383274364228,1.6864562456020793,4.3104538034601845,62.88695166820337,137,4902,81,0.46,1
M009,86.24798644593191,1.074406684521897,5.886343634237023,68.29028844819112,126,4076,94,0.44,1
M007,91.89636997694697,3.091984685124553,5.059648352511009,76.39506512613063,134,904,76,0.58,2
M005,77.27653282631304,1.518354929824778,4.312468557540645,71.96278922535606,42,2156,89,0.45,2
M004,83.29473929231466,1.7164778158646177,4.814942902553043,66.08368894793139,130,3311,88,0.46,2
M004,64.80438368280113,1.472063238926661,4.972774518789563,86.12438636122927,36,1193,55,0.47,2
M010,78.73058935320637,2.6574479249607665,4.515361156333925,63.29016535505387,31,3791,63,0.51,2
M010,70.35608923386262,2.9356749109059113,5.4886576505257345,76.61369463186148,117,4679,58,0.52,1
M004,57.381362579602616,2.8301668411929675,5.560557439974559,60.83487006356778,41,3154,81,0.43,2
M003,70.11018512570841,2.0801365389136808,4.798263470003498,71.66781444402497,83,3183,83,0.45,2
M001,86.42160028252862,2.8341186496299966,5.873777453811631,67.89911185892839,66,994,50,0.56,2
M006,83.5788310613143,2.7899524407498486,5.527267881679708,77.02207611817957,85,3654,73,0.54,2
M007,88.83145000872274,3.959107157301978,4.223082907152489,55.96713403346888,36,824,70,0.57,2
M008,76.98289377371866,2.1411535830870805,5.0767743191603705,65.31775419525644,49,3614,92,0.46,2
M006,74.06234550477329,3.7325248831179065,5.512958992859639,75.2420020840947,90,684,70,0.55,2
M005,88.06874095875274,1.7700590540979526,6.42197369826284,62.28197971205375,55,4119,98,0.46,1
M002,75.67753572762163,1.8306139472288652,4.923255984015516,80.64190310548851,51,2246,62,0.5,2
M002,76.5161882736063,1.3874216979889495,5.266672779569791,77.34685119638262,44,4623,88,0.45,1
M004,83.611276689586,3.1975866003471785,4.889743457671164,74.34594168656783,117,2445,67,0.56,2
M007,94.76544273728229,2.797856094206021,4.920192087375894,69.14959693855134,85,1067,70,0.56,2
M003,68.92473657653524,2.4384466620648055,5.395692753038992,35.33095843127842,124,3025,89,0.39,3
M009,89.2025693244196,2.560136977968292,4.706122223750173,70.57986385033702,77,3427,76,0.54,2
M004,72.39659509278239,0.5642344527887615,5.414641956712943,61.03138218749319,67,1795,93,0.37,3
M010,84.78893539912725,1.1111084458269207,5.051477208494456,67.99097494457628,141,3546,68,0.47,2
M002,78.28495370129816,4.545817288088285,4.808591507787573,80.69729290200465,113,2560,75,0.6,2
M002,71.30431147146219,2.442909554186531,4.724271345822461,71.03001616203612,91,4637,64,0.49,1
M007,74.62643158758061,2.7605174218537534,5.170231223241828,75.54092107003926,135,4673,52,0.53,1
M003,78.16200076204561,3.935435785839352,4.862911243317789,73.00446059762777,138,803,54,0.58,2
M008,61.18890244085253,2.2805194467856715,5.095496873885305,74.99685836138156,137,3720,90,0.43,2
M010,83.70576215814242,3.395008668060121,4.9665200483514305,76.17240866775373,134,1093,63,0.58,2
M008,82.92932940485917,1.86470839531391,4.877930041845334,72.57194852228014,73,1924,72,0.5,2
M001,86.33546774502706,2.9270973167916674,5.355757995134369,70.5162650281042,119,1192,80,0.54,2
M009,91.21600099766322,3.419705293227165,4.95792210468925,84.69392063162138,36,2975,67,0.61,2
M010,76.07679869726606,1.2219415208821984,5.646166607084083,62.44616422656256,37,4195,92,0.41,1
M001,96.289465557456,2.1226784898817392,5.065257806502048,84.86931771930207,148,2961,60,0.58,2
M009,80.33014079151138,2.8578383486710237,4.835942333415729,66.36886138645912,54,1892,84,0.5,2
M004,78.05319779547067,2.4886095915212683,5.33139094301048,78.95972660224545,92,520,87,0.5,2
M009,67.96105349699566,3.9935827693088695,5.005172007917881,62.272256065056204,35,708,82,0.51,2
M001,74.27716521929575,3.271038919953255,4.343312566762378,70.66153374543252,140,2582,98,0.5,2
M009,91.7393841812252,4.160802401937909,5.019845878665925,95.97583402705763,121,3308,70,0.66,2
M001,80.8667820853008,4.577379995591244,5.003232093598799,64.3976790749649,146,631,72,0.58,2
M010,71.987447646732,1.4899540607161756,5.5659050806077115,70.0099970371353,107,2555,86,0.43,2
M010,75.48674838326826,2.688467729066277,5.185403592770843,67.60872939898039,37,2804,61,0.51,2
M008,85.03051309661184,3.845803267362869,4.770042836432164,54.572744905178716,82,1221,93,0.53,2
M004,64.15466206707949,3.6056316915240707,4.911353288405046,58.455503409562084,108,2048,96,0.46,2
M004,57.516183438591355,2.4063199380616354,4.4857375071604135,70.01870183891876,98,3947,53,0.46,2
M008,80.78117097473893,2.1449513556278483,5.032310515590266,69.5365575394044,107,3786,59,0.51,2
M010,83.6009638414307,2.3319065340347556,5.109173216698949,76.04759225738275,99,854,91,0.51,2
M004,77.19231667754974,1.3436828876653557,4.413508074267304,63.686063518404936,42,4356,91,0.42,1
M008,57.50022125781203,3.8091443869175965,4.6772877480027235,67.78594439005977,75,4111,51,0.51,1
M009,70.36835133528534,1.5039648722973362,5.6086448669613835,78.42175565148868,64,3508,57,0.47,2
M003,78.65506734826693,3.301164019823923,5.377559621986279,65.4129213046164,54,1230,90,0.51,2
M001,80.2376021744568,2.378674720691635,4.993269272707174,80.86895612586808,116,4480,70,0.53,1
M005,69.59846611625748,2.0716547602941384,4.095707021412549,85.03322498821751,126,512,83,0.48,2
M002,81.19037198286294,2.2827163030631765,3.477035584459194,63.43044763079164,132,2145,99,0.46,2
M006,60.850473892835595,2.472284433754601,4.1144014174225685,64.99323598504485,57,4285,68,0.44,1
M006,74.8661538434696,3.3810715736226133,5.971094806346885,78.05640541707015,103,4770,69,0.55,1
M003,57.87560542435686,3.781392548982837,5.170433922562913,68.60481766100138,51,1985,98,0.46,2
M002,83.12957112365649,2.818105056052626,5.143396448772099,74.69408856195705,112,2021,73,0.54,2
M001,77.67406982355465,2.124623044406912,6.613065829459851,67.83446232891492,123,4494,72,0.48,1
M005,72.17819420974752,2.504813307376785,5.20569793857918,63.952151096945975,38,3175,54,0.49,2
M006,74.26931031592927,1.7325789999283252,4.556327186247791,79.3931343884847,48,4816,81,0.47,1
M005,78.12491680257139,2.970473656116732,5.19019552694895,57.63202317558144,130,3163,89,0.48,2
M004,83.99435040755722,2.5889143258130787,5.307785460747723,87.94166987302988,68,4764,63,0.57,1
M008,86.95336118002815,0.7639042414015009,4.424504717994713,66.15547942881557,37,1246,72,0.45,2
M009,83.73783040960116,2.830142615789073,4.805627587397109,62.75813734058148,73,3131,72,0.52,2
M008,69.17888406209572,3.6312300916590132,5.126187104766803,83.2646678213856,110,2159,57,0.56,2
M010,99.34408633237682,3.2960927059985687,5.13228263126718,59.64103094789705,88,3477,82,0.57,2
M008,69.83103137110217,3.148088364660409,5.4308173314860735,61.034155865440546,50,2402,64,0.49,2
M009,74.25089155344982,3.548210268761728,4.935850502763401,76.11087352140102,124,4270,62,0.55,1
M006,73.76821785189951,2.575920534259487,5.085942417125665,56.889139376308094,93,3255,59,0.48,2
M005,60.2267195909386,1.8524270044256008,5.328968146376538,65.90873591516755,45,2572,97,0.39,3
M007,80.58690966033275,3.4491737064276724,4.952758842927756,77.6803152012839,34,3424,60,0.58,2
M002,71.82426801176263,3.4582049172942337,4.598786402788595,74.21049651164908,122,803,66,0.54,2
M010,81.29248971893585,0.7172952565519763,5.685449594154885,76.63864089931674,122,2989,79,0.45,2
M008,58.387205067222325,0.5050547141867148,3.7935036559620583,81.43148487574933,118,2348,99,0.36,3
M008,71.91450398326212,2.3526996027449814,4.089926089002086,69.29186690049481,60,2576,75,0.47,2
M003,95.82348744095584,1.5168778654181585,4.671442761229711,80.31217133738357,118,3371,75,0.53,2
M003,88.45406190611672,3.085490743749616,5.38789282839661,60.43230668295432,130,2123,68,0.54,2
M009,94.43603048183171,4.180495630414647,4.681460746874822,64.77325743633665,110,4327,92,0.59,1
M003,67.0557394653132,2.56886201461507,5.257097626373651,83.00645242266052,44,2007,83,0.49,2
M004,81.94233410485984,3.3638798216688373,5.811318769017708,84.57681200356204,37,2386,73,0.58,2
M006,70.57274947815338,2.1908461886434867,5.054887193395187,88.8048922823556,68,1924,66,0.51,2
M006,77.54249204134929,2.603938834148899,5.533359415027164,69.29661550328129,44,2915,74,0.5,2
M009,99.55776199562555,3.9461946654953937,5.565575639143089,73.19160177508908,73,3269,61,0.64,2
M001,72.9596941901894,3.7749891193000438,5.2090493027186175,67.24993268848549,69,4631,86,0.52,1
M008,74.16398861409078,1.1080537592968436,4.697840859362581,74.37347932607807,102,2824,70,0.45,2
M009,91.15958503338743,1.6185663915419257,5.444585861767198,65.24996761382957,46,1444,84,0.48,2
M002,71.26834817786803,3.896628479507312,4.992434965319515,74.36529667812562,133,2810,95,0.52,2
M002,75.16885058419895,3.069079259535643,4.217187771805274,75.78191895055586,145,4211,85,0.51,1
M005,58.07881111442781,2.5702485782147937,4.763650233814565,70.2175218401596,61,972,92,0.43,2
M001,91.06119491831294,3.3395935456672055,5.417712235946524,83.82639145603659,59,2822,54,0.62,2
M010,86.96894951802416,1.939813474781791,4.933489059679956,78.55758767564082,136,3196,57,0.54,2
M006,76.07160227782244,2.476022697502036,4.715971856169268,45.369361001537484,88,2275,89,0.43,2
M003,63.01815967397664,3.381123139279526,5.302060252992371,70.21173586877877,131,2008,78,0.49,2
M004,60.30920439363791,2.849812342548864,5.724175428464639,71.8646087513566,60,748,84,0.45,2
M002,86.59791245289306,2.0116082691829678,5.313852378740853,77.9615739937545,77,2895,67,0.53,2
M009,75.40986789775941,1.5002471989118682,5.111711821123395,85.08940264240212,48,779,96,0.46,2
M002,75.84782864643958,1.5083395573663343,4.560249763866024,52.658793104876615,91,3082,96,0.4,3
M003,80.32030193292452,3.427407491788805,5.993335632286654,68.04974111177954,70,2203,64,0.55,2
M004,91.8354649877845,1.4205378852326735,4.836180937965881,68.76233051793413,122,3106,91,0.48,2
M002,83.34085718608303,2.2541500210220033,4.783999197874531,55.57783526131946,136,1217,54,0.5,2
M002,70.50836191224437,2.1334989444878985,4.688936081371643,67.94010283762196,76,3747,68,0.46,2
M004,70.6588982050402,1.1791762261210428,5.031338025080989,74.09479386198049,131,1609,73,0.43,2
M005,109.958777896001,3.5967006321083046,4.8659695392539435,65.36855468456466,52,4314,74,0.63,1
M003,80.75779782666453,4.338768423766373,5.5420665437389,82.29258942599657,33,1363,97,0.58,2
M006,53.48770382129331,3.8317569703945535,5.791688940764766,78.52216006578016,70,2447,56,0.51,2
M004,70.8857902734063,2.319215636104509,4.402341600904707,64.00682656705872,75,892,94,0.44,2
M008,76.29411258275597,5.184345742423311,4.309496346273501,53.2270873194085,142,3575,85,0.56,2
M006,79.32728599130185,2.5604427899258133,4.642521574951971,66.259815826429,116,3331,81,0.49,2
M001,71.6337727267884,1.1239577362106457,4.81523457687182,85.79733077527891,76,2265,72,0.46,2
M001,73.88477942341055,3.4373911492797857,5.358896747561906,75.01923158477068,102,2122,77,0.53,2
M001,61.2327029749637,3.3659266183051018,5.121696902953848,62.90575160406507,77,2263,52,0.49,2
M001,86.94531874506444,4.53503270136591,5.175872863437515,60.5697480765769,75,2240,78,0.59,2
M009,92.20830297119534,1.5606732621340602,5.108453221866181,56.37620480170491,80,3545,86,0.47,2
M008,52.86772651973169,2.2546994586674693,5.434775553323895,77.71607109607268,123,2529,64,0.44,2
M007,90.9607973553315,1.479698452738527,4.565604126420247,69.33344523777511,62,2086,71,0.5,2
M010,77.81735063829375,1.2558248873221676,5.349549794832754,66.44588609225727,52,4644,94,0.42,1
M003,66.88510322266475,1.094750809226691,4.963420202009267,88.08861377892944,100,1831,80,0.44,2
M008,86.3548501636277,2.217899979962714,5.8998093800259666,83.08517156346163,33,520,71,0.54,2
M008,79.21473449875903,1.6050626464586348,4.879680972814964,80.78975230139304,49,4939,60,0.5,1
M007,78.25431758536298,3.062368291616678,5.6039110173102165,70.95796725629646,45,1291,57,0.54,2
M008,78.48272226402725,2.66713921321063,4.710592092940745,70.3611437848964,73,1465,82,0.5,2
M007,63.724956622594036,1.4182525127011596,4.3858388024595545,74.89054133370362,98,529,58,0.44,2
M008,88.85148925212323,1.5136732360749423,5.021274128995155,82.59856190903125,76,2107,90,0.5,2
M004,69.427196996373,3.004712365650561,4.344062988409881,78.94394180301317,68,4715,63,0.52,1
M010,81.86566006151563,3.1771468663576306,4.39353752877493,60.04352182146819,115,1163,70,0.52,2
M003,96.89750287809187,0.13603150574782008,5.077649920741219,77.52922665287831,117,4813,93,0.46,1
M006,81.50281574959703,3.0871376842128475,5.204152231708918,83.99696138972348,126,4503,78,0.56,1
M007,64.76772233856701,2.203103148679496,4.51362961318409,57.72797101341707,122,1948,98,0.4,3
M003,81.72060519093768,3.2416397464647746,4.558894602002048,73.8773500193449,107,4483,85,0.54,1
M001,85.6534762654163,2.982694051616154,4.766285643120859,79.60377148738156,57,4068,94,0.54,1
M006,72.25771642945469,3.196730909231844,5.414606970413128,63.51810852932656,98,4264,87,0.48,1
M010,78.65300993021789,3.201849285492093,5.097961074177139,68.5290164780558,103,870,63,0.54,2
M001,75.6929406054889,3.0095362954359315,4.557168869171885,67.73583268654738,138,1185,88,0.49,2
M003,72.6341964927086,2.693569399253578,4.572711909815838,64.1840477692987,140,3624,84,0.47,2
M009,71.4885930617916,2.687164020486162,5.026761398949523,63.66714814653856,132,1372,52,0.5,2
M005,63.983380846205975,1.6710723869951045,4.522256751364403,61.1972304616789,64,2175,81,0.4,3
M007,75.87314974008564,2.3208502423365713,5.3394219352631,71.08623500777166,55,4379,77,0.49,1
M004,49.84961547464993,2.0623917432430336,5.337704559465521,67.56101836551716,116,2522,96,0.37,3
M004,96.91907354744416,2.702054616025646,4.09774341035648,61.273664698860614,82,1687,81,0.54,2
M010,82.31215493342873,3.202953791906868,5.53007385260133,86.08866279244033,120,2898,68,0.58,2
M002,71.65492493643254,3.24908984425307,4.828711463959224,81.586103667417,35,566,58,0.55,2
M008,51.08278342287207,2.461286176619659,4.92362771609374,87.39659373270105,118,699,95,0.43,2
M010,92.21851162944331,2.5435298107581112,5.353194200151112,86.41031834100028,84,4930,69,0.58,1
M004,63.01895936735782,1.545960864455642,5.06516337087248,84.58685643212742,47,4756,68,0.45,1
M009,84.4850820371667,3.0196144598478014,4.50372219311806,55.45211149463258,76,1540,50,0.54,2
M001,89.44311583712344,1.4961089207811606,4.409548274214597,76.75609961503058,38,4165,94,0.49,1
M007,74.3845672611995,4.383275767411062,4.736725345289617,87.31343189095807,127,4296,78,0.6,1
M007,82.60769641959354,2.457810299539465,5.2274588683708405,66.65727316705593,128,1425,99,0.48,2
M002,101.99714140419509,1.2001057207036752,4.8316766978173575,50.159560968119365,42,1591,66,0.49,2
M003,81.88678023685426,4.5258070919112505,4.14574074838464,58.93704564036737,130,4178,81,0.56,1
M002,61.621265087897676,1.4064428541117642,4.75119581671883,74.83954520422097,76,4747,62,0.43,1
M002,89.57358558271021,2.143261436740972,4.823787872468136,80.81869515687856,133,4236,79,0.54,1
M010,64.36598354482147,1.6869878782796275,5.2804463613409025,59.17996404796932,147,4017,92,0.39,1
M005,83.5490037962071,2.792651387400598,4.541073784052031,76.89579214365443,98,2064,80,0.54,2
M010,94.14712305997992,1.8403736989400885,4.830845966768276,56.7890031928557,106,562,72,0.5,2
M009,89.70320772036486,3.5644827536085684,4.867307300447613,68.77214585452063,109,2174,81,0.57,2
M001,66.44669485610741,3.5769228252928507,5.3042923226750895,74.11557917253643,114,3843,59,0.53,2
M002,76.2906479824017,1.9254530238661207,4.184362752215917,80.70098484827274,120,1626,79,0.49,2
M003,74.47980311541986,1.8764239087979848,5.142466534842406,62.0197311790467,44,953,55,0.47,2
M010,76.32780698264155,3.2225885016201055,5.313245200755279,60.87055484421579,109,1222,53,0.53,2
M005,82.27319847020715,3.677206798052249,4.716764749698951,64.01107263384635,133,2365,98,0.52,2
M001,60.90488682526806,1.1028420017819225,4.781879114941591,80.57136768800929,109,4620,57,0.43,1
M005,69.3954490172006,1.4941873296378907,4.836493157003256,69.79587856733872,139,1442,97,0.41,2
M007,58.435671348288494,3.7128209850318665,4.599621223636891,67.76027663556445,89,1247,62,0.5,2
M006,69.01632189769781,2.4608276293937803,4.6748499950017735,56.91005885124934,62,4883,54,0.47,1
M009,71.51015303376414,0.8299945256251082,5.372722519892358,72.08598598992197,48,2413,59,0.43,2
M010,53.704869258899585,4.018886581452663,4.901017122184736,76.80635001693885,40,2422,87,0.49,2
M001,80.36391372284459,0.007643797097098837,5.1914005991506755,60.93458934942566,148,3953,55,0.41,2
M004,78.4261239821389,1.3682632806823647,5.048981632238063,59.6218164624292,104,1884,85,0.42,2
M010,68.97894647218742,2.6311900903438836,4.775109198036528,60.642202841335035,31,3525,67,0.47,2
M005,61.73904940953143,1.4967858096099587,5.515716339146154,73.00565472839905,91,2991,69,0.42,2
M003,78.12069597794968,2.2457518685872664,5.805647883455132,56.94390314343822,52,3193,87,0.45,2
M007,66.4091205763593,1.6894352903746348,5.5693085357268926,72.9405039668672,59,1258,78,0.43,2
M009,73.3327596691316,2.237703987810167,5.121505928504851,74.2706465627171,138,3951,62,0.5,2
M002,75.44243854223774,0.6614931681974496,4.911822331790659,53.568597349237734,103,3727,96,0.36,3
M005,76.3829868978581,2.316512757001493,4.542130664809739,75.8993763232838,90,4750,89,0.48,1
M007,68.95660928436688,1.621729926326634,4.997998429082408,60.21319268590647,107,4768,74,0.42,1
M009,72.78087547206447,3.719503568712245,4.995715855994617,94.25391589417082,64,2820,64,0.59,2
M006,79.95212953124113,3.774388087331719,5.142911745201994,72.90209118421306,106,4703,85,0.55,1
M006,71.97035545098072,1.5424947166844594,4.1367394940682845,59.556034381310965,138,3526,76,0.42,2
M001,81.6846812952911,1.742689486322039,4.877167362020298,76.4431849407136,86,2589,99,0.47,2
M007,100.15546207874225,2.5438749637607154,5.56969050741781,55.130399189637345,34,2715,52,0.56,2
M007,87.74677338564759,3.955060582481769,4.630683903179098,75.23807363087754,91,2952,58,0.61,2
M006,73.9715583686393,1.653087671683021,5.376730725829164,64.3172821392446,137,4259,50,0.47,1
M004,79.35555848374813,3.442568548536189,4.243862203629463,79.91994826557635,72,997,58,0.58,2
M007,76.25154697062888,1.6525703078820542,5.323633743220244,73.27871818233291,60,1752,57,0.48,2
M001,71.44916101775954,1.9683380996803321,4.988711196751372,79.68289999812382,92,4797,62,0.49,1
M007,79.27870677190386,1.6332770253715467,5.207576992174355,78.7091204844941,80,1583,85,0.48,2
M008,75.27322760864173,3.5024164586720072,4.244847622764875,56.76038753403596,87,4146,98,0.48,1
M001,76.33959907165645,2.0319359975092546,6.131616419542768,62.652343052592144,149,4946,77,0.46,1
M005,76.48031758159688,1.9916106287419317,4.206949170589018,50.22775154761018,110,3353,77,0.43,2
M005,75.89608159927609,3.071878066178356,5.353522947067035,68.23952503973048,113,2378,65,0.52,2
M002,81.77159712065787,2.348974046152947,4.361572111779459,68.2004329819672,31,4063,83,0.49,1
M002,72.6300082893984,1.7020065978185235,5.490304177433379,59.24001324215208,92,892,90,0.41,2
M005,74.71909686591978,2.628934191247815,4.830562527275507,76.18088016207432,97,3013,67,0.51,2
M005,74.8169651597851,0.6730714535221662,4.104135290083069,77.27451353772717,90,4514,52,0.45,1
M003,79.55689668667252,3.2757672174031764,4.466671933471096,77.93604803259595,101,1399,63,0.56,2
M006,65.07641713509486,2.3928471189644633,4.719238071392634,64.51578714543062,138,4405,66,0.45,1
M002,68.83394945954502,2.416018131193827,5.028594308595932,79.79767216941364,84,3418,50,0.51,2
M009,76.44250022817391,3.0319906076118035,4.462847306886756,76.65808389037356,70,2107,56,0.55,2
M001,83.11940328395292,3.0513945495913974,4.790003011436652,86.02910231073635,75,1716,59,0.58,2
M005,88.11783900207575,-0.12678625735071059,5.038367119358256,65.75930195556913,35,1638,80,0.41,2
M001,91.41526948644152,1.4913376856165448,4.887839344083683,72.92347807345753,124,3475,69,0.51,2
M009,75.86859163161803,1.9286257785500882,4.7343180665681555,91.61224183166465,117,1105,96,0.49,2
M006,65.06621794416144,2.1533466385698894,5.179444879973426,78.05628506703701,60,2098,54,0.48,2
M007,74.1278440158435,2.821550513047476,5.037014676170619,77.20080652148957,126,2897,50,0.54,2
M003,82.22696009522619,2.864250212222989,4.483827580811195,77.96832944809138,59,583,71,0.55,2
M005,72.92368947017621,2.960255863510126,4.977226521606597,69.90810965969115,147,1291,70,0.51,2
M006,69.38114336452571,0.922297908367141,4.538263791579083,81.30415507866506,84,2736,58,0.45,2
M001,77.31512739295572,2.0714999951779145,5.459499378628424,73.17257725233983,146,4097,71,0.49,1
M005,83.7571586240098,2.369050777815527,5.1491001390491205,61.010760098610795,31,3775,66,0.5,2
M001,59.06282984648967,1.289929279898797,5.147124156383528,37.471412035683834,93,2137,70,0.33,3
M007,65.3424258439374,2.607704147791731,4.813299489382622,61.03667185886936,52,4103,65,0.46,1
